id,environment_id,environment_message,species_count
1,North Sweden-Spruce-Tall herbs-1-40 years,Test1,140
2,North Sweden-Spruce-Tall herbs-41-90 years,Test2,180
3,North Sweden-Spruce-Tall herbs-91< years,Test3,240
4,North Sweden-Spruce-Low herbs-1-40 years,,200
5,North Sweden-Spruce-Low herbs-41-90 years,,200
6,North Sweden-Spruce-Low herbs-91< years,,200
7,North Sweden-Spruce-No field layer-1-40 years,,200
8,North Sweden-Spruce-No field layer-41-90 years,,200
9,North Sweden-Spruce-No field layer-91< years,,200
10,North Sweden-Spruce-Broad grasses-1-40 years,,200
11,North Sweden-Spruce-Broad grasses-41-90 years,,200
12,North Sweden-Spruce-Broad grasses-91< years,,200
13,North Sweden-Spruce-Narrow grasses-1-40 years,,200
14,North Sweden-Spruce-Narrow grasses-41-90 years,,200
15,North Sweden-Spruce-Narrow grasses-91< years,,200
16,North Sweden-Spruce-Blueberry-1-40 years,,200
17,North Sweden-Spruce-Blueberry-41-90 years,,200
18,North Sweden-Spruce-Blueberry-91< years,,200
19,North Sweden-Spruce-Lingonberry-1-40 years,,200
20,North Sweden-Spruce-Lingonberry-41-90 years,,200
21,North Sweden-Spruce-Lingonberry-91< years,,200
22,North Sweden-Spruce-Crowberry/heather-1-40 years,,200
23,North Sweden-Spruce-Crowberry/heather-41-90 years,,200
24,North Sweden-Spruce-Crowberry/heather-91< years,,200
25,North Sweden-Pine-Tall herbs-1-40 years,,200
26,North Sweden-Pine-Tall herbs-41-90 years,,200
27,North Sweden-Pine-Tall herbs-91< years,,200
28,North Sweden-Pine-Low herbs-1-40 years,,200
29,North Sweden-Pine-Low herbs-41-90 years,,
30,North Sweden-Pine-Low herbs-91< years,,200
31,North Sweden-Pine-No field layer-1-40 years,,200
32,North Sweden-Pine-No field layer-41-90 years,,200
33,North Sweden-Pine-No field layer-91< years,,200
34,North Sweden-Pine-Broad grasses-1-40 years,,200
35,North Sweden-Pine-Broad grasses-41-90 years,,200
36,North Sweden-Pine-Broad grasses-91< years,,200
37,North Sweden-Pine-Narrow grasses-1-40 years,,200
38,North Sweden-Pine-Narrow grasses-41-90 years,,200
39,North Sweden-Pine-Narrow grasses-91< years,,200
40,North Sweden-Pine-Blueberry-1-40 years,,200
41,North Sweden-Pine-Blueberry-41-90 years,,200
42,North Sweden-Pine-Blueberry-91< years,,200
43,North Sweden-Pine-Lingonberry-1-40 years,,200
44,North Sweden-Pine-Lingonberry-41-90 years,,200
45,North Sweden-Pine-Lingonberry-91< years,,200
46,North Sweden-Pine-Crowberry/heather-1-40 years,,200
47,North Sweden-Pine-Crowberry/heather-41-90 years,,200
48,North Sweden-Pine-Crowberry/heather-91< years,,200
49,North Sweden-Mixed Coniferous-Tall herbs-1-40 years,,200
50,North Sweden-Mixed Coniferous-Tall herbs-41-90 years,,200
51,North Sweden-Mixed Coniferous-Tall herbs-91< years,,200
52,North Sweden-Mixed Coniferous-Low herbs-1-40 years,,200
53,North Sweden-Mixed Coniferous-Low herbs-41-90 years,,200
54,North Sweden-Mixed Coniferous-Low herbs-91< years,,200
55,North Sweden-Mixed Coniferous-No field layer-1-40 years,,200
56,North Sweden-Mixed Coniferous-No field layer-41-90 years,,200
57,North Sweden-Mixed Coniferous-No field layer-91< years,,200
58,North Sweden-Mixed Coniferous-Broad grasses-1-40 years,,200
59,North Sweden-Mixed Coniferous-Broad grasses-41-90 years,,200
60,North Sweden-Mixed Coniferous-Broad grasses-91< years,,200
61,North Sweden-Mixed Coniferous-Narrow grasses-1-40 years,,200
62,North Sweden-Mixed Coniferous-Narrow grasses-41-90 years,,200
63,North Sweden-Mixed Coniferous-Narrow grasses-91< years,,200
64,North Sweden-Mixed Coniferous-Blueberry-1-40 years,,200
65,North Sweden-Mixed Coniferous-Blueberry-41-90 years,,200
66,North Sweden-Mixed Coniferous-Blueberry-91< years,,200
67,North Sweden-Mixed Coniferous-Lingonberry-1-40 years,,200
68,North Sweden-Mixed Coniferous-Lingonberry-41-90 years,,200
69,North Sweden-Mixed Coniferous-Lingonberry-91< years,,200
70,North Sweden-Mixed Coniferous-Crowberry/heather-1-40 years,,200
71,North Sweden-Mixed Coniferous-Crowberry/heather-41-90 years,,200
72,North Sweden-Mixed Coniferous-Crowberry/heather-91< years,,200
73,North Sweden-Mixed Deciduous-Tall herbs-1-40 years,,200
74,North Sweden-Mixed Deciduous-Tall herbs-41-90 years,,200
75,North Sweden-Mixed Deciduous-Tall herbs-91< years,,200
76,North Sweden-Mixed Deciduous-Low herbs-1-40 years,,200
77,North Sweden-Mixed Deciduous-Low herbs-41-90 years,,200
78,North Sweden-Mixed Deciduous-Low herbs-91< years,,200
79,North Sweden-Mixed Deciduous-No field layer-1-40 years,,200
80,North Sweden-Mixed Deciduous-No field layer-41-90 years,,200
81,North Sweden-Mixed Deciduous-No field layer-91< years,,200
82,North Sweden-Mixed Deciduous-Broad grasses-1-40 years,,200
83,North Sweden-Mixed Deciduous-Broad grasses-41-90 years,,200
