Scientificname,Commonname,SIGNAL_art,RL2020kat,Giftsvamp,Nyasvamp-boken
Xerocomellus chrysenteron,rutsopp,,LC,,x
Russula velenovskyi,gulröd kremla,,LC,,x
Lactarius pubescens,blek skäggriska,,LC,,x
Leccinum holopus,kärrsopp,,LC,,x
Hygrophorus hypothejus var. hypothejus,frostvaxskivling (var. hypothejus),,NE,,x
Leccinellum pseudoscabrum,hasselsopp,S,LC,,x
Russula favrei,gransillkremla,,LC,,x
Leccinum quercinum,eksopp,,LC,,x
Russula clavipes,olivsillkremla,,LC,,x
Leccinum rotundifoliae,rensopp,,LC,,x
Leccinum piceinum,gransopp,,LC,,x
Pseudosperma rimosum,topptråding,,LC,x,
Inosperma erubescens,gifttråding,,LC,x,
Ramaria formosa,lömsk fingersvamp,,NT,x,
Scleroderma cepa,rödbrun rottryffel,,VU,x,
Cortinarius splendens,svavelspindling,,VU,x,
Tricholoma bryogenum,,,NE,x,
Hydnellum ferrugineum,dropptaggsvamp,S,LC,,
Hydnellum peckii,skarp dropptaggsvamp,S,LC,,
Lactarius scrobiculatus,svavelriska,S,LC,,
Hydnellum scabrosum,skrovlig taggsvamp,,NT,,
Cortinarius odorifer,anisspindling,S,LC,,
Cortinarius venetus,olivspindling,S,LC,,
Hydnellum concrescens,zontaggsvamp,S,LC,,
Cortinarius percomis,kryddspindling,S,LC,,
Cortinarius glaucopus,strimspindling,S,LC,,
Cortinarius salor,blå slemspindling,S,LC,,
Hydnellum lundellii,koppartaggsvamp,,VU,,
Lactarius lignyotus,sotriska,S,LC,,
Cortinarius sulfurinus,persiljespindling,,NT,,
Caloboletus radicans,rotsopp,,NT,,
Ramaria flavescens,tjockfotad fingersvamp,S,LC,,
Craterellus undulatus,kruskantarell,S,LC,,
Ramaria eosanguinea,tallfingersvamp,S,LC,,
Hydnellum fennicum,bitter taggsvamp,,VU,,
Strobilomyces strobilaceus,fjällsopp,S,LC,,
Lactarius zonarioides,granriska,S,LC,,
Ramaria safraniolens,läderdoftande fingersvamp,,VU,,
Cortinarius metarius,tvillingspindling,,VU,,
Cortinarius piceae,barrfagerspindling,S,LC,,
Hydnellum versipelle,brödtaggsvamp,,VU,,
Tricholoma fucatum,rökmusseron,S,LC,,
Cortinarius corrosus,bullspindling,,VU,,
Cortinarius cinnabarinus,cinnoberspindling,,NT,,
Cortinarius olearioides,saffransspindling,,NT,,
Butyriboletus appendiculatus,bronssopp,,NT,,
Butyriboletus fechtneri,sommarsopp,,VU,,
Cortinarius cotoneus,olivbrun spindling,,NT,,
Inosperma bongardii,dofttråding,S,LC,,
Cortinarius olivaceodionysae,gulfotad denisespindling,,NT,,
Russula virescens,rutkremla,S,LC,,
Cortinarius violaceus,lövviolspindling,S,LC,,
Hydnellum fuligineoviolaceum,lilaköttig taggsvamp,,EN,,
Cortinarius rubicundulus,gulnande spindling,S,LC,,
Cortinarius caesiostramineus s. lat.,blekspindling agg.,,NT,,
Cortinarius dionysae s. lat.,denisespindling agg.,S,NA,,
Russula solaris,solkremla,S,LC,,
Hemileccinum impolitum,bleksopp,,VU,,
Inocybe corydalina,grönpucklig tråding,S,LC,,
Hydnellum glaucopus,spricktaggsvamp,,VU,,
Hydnellum illudens,ruttaggsvamp,,VU,,
Cortinarius barbaricus,blåfotad fagerspindling,,VU,,
Cortinarius caesiocortinatus,pilfotsspindling,,VU,,
Gyrodon lividus,alsopp,S,LC,,
Ramaria brunneicontusa,gyllenfingersvamp,,VU,,
Cortinarius alcalinophilus,fläckig saffransspindling,,VU,,
Cyanoboletus pulverulentus,bläcksopp,S,LC,,
Cortinarius flavovirens,mjölspindling,,VU,,
Cortinarius coerulescentium,munkspindling,,VU,,
Tricholoma viridilutescens,gulgrön kantmusseron,S,LC,,
Cortinarius arcuatorum,grisspindling,,VU,,
Ramaria lutea,såpfingersvamp,,NT,,
Inocybe godeyi,rödflammig tråding,S,LC,,
Russula alnetorum,alkremla,S,LC,,
Cortinarius anserinus,bokspindling,,NT,,
Cortinarius elegantissimus,kejsarspindling,,VU,,
Lactarius flavidus,gul lilariska,,NT,,
Cortinarius vulpinus,rävspindling,,NT,,
Cortinarius pseudoglaucopus,violettrandad spindling,,VU,,
Hygrophorus arbustivus,höstvaxskivling,,EN,,
Craterellus melanoxeros,svartnande kantarell,,NT,,
Lactarius acris,skarp rökriska,,NT,,
Hydnellum martioflavum,sammetstaggsvamp,,VU,,
Elaphomyces anthracinus,svart hjorttryffel,,VU,,
Cortinarius multiformium,frostspindling,,EN,,
Elaphomyces leveillei,torvhjorttryffel,,NT,,
Cortinarius subpurpurascens,spindelskivling,S,LC,,
Hygrophorus gliocyclus,slemringad vaxskivling,,VU,,
Lactarius violascens,stor lilariska,,NT,,
Cortinarius mussivus,stor odörspindling,,VU,,
Cortinarius caerulescens,blå lökspindling,,VU,,
Cortinarius citrinus,citronspindling,,NT,,
Tricholoma orirubens,rodnande musseron,,VU,,
Chamonixia caespitosa,blåtryffel,,VU,,
Cortinarius ionophyllus,rutspindling,,NT,,
Cortinarius bulliardii,rödfotad spindling,,VU,,
Cortinarius variiformis,lövklubbspindling,,VU,,
Cortinarius saporatus,sockelspindling,,EN,,
Leccinellum crocipodium,gul strävsopp,,EN,,
Ramaria flavobrunnescens,solfingersvamp,,NT,,
Melanogaster ambiguus,stinkande slemtryffel,,NT,,
Amanita friabilis,alflugsvamp,,NT,,
Cortinarius turgidus,silkesspindling,,VU,,
Macowanites candidus,naveltryffel,,VU,,
Genea verrucosa,knottertryffel,,NT,,
Cortinarius melanotus,mörkfjällig olivspindling,,VU,,
