SpeciesCode,taxon,snamn,total_presence,svamp-grupp-släkte,geographyOptions,forestTypeOptions,vegetationTypeOptions,standAgeOptions
SI18-349,Hysterangium sp.1,Saknar svenskt namn,454,tryffel,Norr,Granskog,Blåbär,1-40
SI18-4,Cenococcum geophilum (coll.) sp.3,Saknar svenskt namn,434,övrigt,Norr,Granskog,Blåbär,1-40
SI18-26,Hyaloscypha finlandica sp.1,Saknar svenskt namn,322,skålsvamp,Norr,Granskog,Blåbär,1-40
SI18-10,Tylospora fibrillosa,bomullsskinn,249,skinnsvamp,Norr,Granskog,Blåbär,1-40
SI18-713,Cortinarius ochrophyllus,ockraspindling,171,hattsvamp,Norr,Granskog,Blåbär,1-40
SI18-24,Hyaloscypha variabilis,Saknar svenskt namn,165,skålsvamp,Norr,Granskog,Blåbär,1-40
SI18-30,Lactarius rufus,pepparriska,163,hattsvamp,Norr,Granskog,Blåbär,1-40
SI18-15,Piloderma sphaerosporum,Saknar svenskt namn,147,skinnsvamp,Norr,Granskog,Blåbär,1-40
SI18-28,Russula decolorans,tegelkremla,123,hattsvamp,Norr,Granskog,Blåbär,1-40
SI18-43,Cortinarius mucosus/alpinus/fennoscandicus/trivialis,Saknar svenskt namn,121,hattsvamp,Norr,Granskog,Blåbär,1-40
SI18-31,Piloderma olivaceum sp.1,mörkt ullskinn,111,skinnsvamp,Norr,Granskog,Blåbär,1-40
SI18-35,Tylospora asterophora,astralskinn,96,skinnsvamp,Norr,Granskog,Blåbär,1-40
SI18-78,Cortinarius semisanguineus,rödskivig kanelspindling,66,hattsvamp,Norr,Granskog,Blåbär,1-40
SI18-166,Piloderma sp.3,Saknar svenskt namn,65,skinnsvamp,Norr,Granskog,Blåbär,1-40
SI18-90,Polyozellus umbrinus,Saknar svenskt namn,63,Saknas,Norr,Granskog,Blåbär,1-40
SI18-192,Cortinarius brunneus,umbraspindling,38,hattsvamp,Norr,Granskog,Blåbär,1-40
SI18-9,Suillus variegatus,sandsopp,33,sopp,Norr,Granskog,Blåbär,1-40
SI18-130,Cortinarius kauffmanianus,Saknar svenskt namn,29,hattsvamp,Norr,Granskog,Blåbär,1-40
SI18-402,Hebeloma velutipes (coll.) sp.2,Saknar svenskt namn,26,hattsvamp,Norr,Granskog,Blåbär,1-40
SI18-493,Gautieria cf otthii,Saknar svenskt namn,25,tryffel,Norr,Granskog,Blåbär,1-40
SI18-642,Cortinarius biformis,gycklarspindling,22,hattsvamp,Norr,Granskog,Blåbär,1-40
SI18-89,Atheliaceae sp.3,Saknar svenskt namn,22,Saknas,Norr,Granskog,Blåbär,1-40
SI18-227,Russula aquosa,sumpkremla,18,hattsvamp,Norr,Granskog,Blåbär,1-40
SI18-196,Piloderma sp.6,Saknar svenskt namn,17,skinnsvamp,Norr,Granskog,Blåbär,1-40
SI18-272,Polyozellus sp.2,Saknar svenskt namn,14,Saknas,Norr,Granskog,Blåbär,1-40
SI18-153,Lactarius vietus/pilatii,Saknar svenskt namn,13,hattsvamp,Norr,Granskog,Blåbär,1-40
SI18-909,Tomentellopsis sp.1,Saknar svenskt namn,10,skinnsvamp,Norr,Granskog,Blåbär,1-40
SI18-136,Amphinema byssoides sp.1,kraterskinn,9,skinnsvamp,Norr,Granskog,Blåbär,1-40
SI18-217,Polyozellus humicola,Saknar svenskt namn,8,Saknas,Norr,Granskog,Blåbär,1-40
SI18-48,Russula paludosa,storkremla,8,hattsvamp,Norr,Granskog,Blåbär,1-40
SI18-183,Russula rhodopus,lackkremla,7,hattsvamp,Norr,Granskog,Blåbär,1-40
SI18-1968,Cortinarius tabularis,lerbrun björkspindling,6,hattsvamp,Norr,Granskog,Blåbär,1-40
SI18-381,Hebeloma velutipes (coll.) sp.1,Saknar svenskt namn,6,hattsvamp,Norr,Granskog,Blåbär,1-40
SI18-116,Hygrophorus olivaceoalbus,olivvaxskivling,5,hattsvamp,Norr,Granskog,Blåbär,1-40
SI18-2178,Cortinarius sp.3,Saknar svenskt namn,5,hattsvamp,Norr,Granskog,Blåbär,1-40
SI18-274,Thelephora alnii,Saknar svenskt namn,5,skinnsvamp,Norr,Granskog,Blåbär,1-40
SI18-558,Rhizopogon evadens,Saknar svenskt namn,5,tryffel,Norr,Granskog,Blåbär,1-40
