Scientificname,Commonname,SIGNAL_art,RL2020kat,Giftsvamp,Nyasvamp-boken,ekologi,Kriteriedokumentation
Sarcodon squamosus,motaggsvamp,,NT,,x,Växer med tall i tallskog och barrblandskog över hela landet. ,"Bildar mykorrhiza med tall i tallskog. Huvudsakligen i äldre, glesare skogsbestånd och hällmarksimpediment. Förekommer även i ungskog, men har sin huvudsakliga förekomst i äldre skog och dagens ungskogar av tall bedöms inte komma att hysa samma populationstorlekar när dessa blir äldre. Fram till 1999 sammanblandad med fjällig taggsvamp (Sarcodon imbricatus) som bildar mykorrhiza med gran. Status något oklar genom att uppföljning för vanligare skogssvampar inte sker. Total population i landet bedöms ha minskat sedan 1970 och fortsatt komma att minska p.g.a. slutavverkning av äldre tallskog. Antalet reproduktiva individer överstiger gränsvärdet för rödlistning. Antalet har skattats genom att multiplicera tre faktorer: 1) Troliga antalet aktuella lokaler i landet (5000). 2) Bedömt antal unika mycel/lokal (2). 3) En schablon för hur många fragmenterade enheter varje unikt mycel bedöms ge upphov till (10). Antalet lokalområden i landet skattas till 5000 (1500-10000). Utbredningsområdets storlek (EOO) och förekomstarean (AOO) överskrider gränsvärdena för rödlistning. En minskning av populationen pågår eller förväntas ske. Minskningstakten uppgår till 15 % inom 50 år. Den minskande trenden har pågått en tid och bedöms fortsätta. Bedömningen baseras på minskad geografisk utbredning och/eller försämrad habitatkvalitet. De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Nära hotad (NT). Minskningstakten för den svenska populationen bedöms vara nära gränsvärdet för Sårbar (VU). (A2c+3c+4c)."
Cantharellus cibarius,kantarell,,LC,,x,"Växer i löv- och barrskog, vanlig i hela landet utom i Norrlands inland. Finns även i fjällbjörkskogen. Dyker upp redan i juni–juli, och säsongen sträcker sig långt in på senhösten tills minusgraderna tar överhanden. ",De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Livskraftig (LC).
Boletus edulis,stensopp,,LC,,x,Växer i barr- och lövskog över hela Europa. Vissa år uppträder den i stora mängder under s.k. karljohanår. ,De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Livskraftig (LC).
Sarcodon imbricatus s.str.,fjällig taggsvamp s.str.,S,LC,,x,Växer med gran i barrskog över hela landet.,De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Livskraftig (LC).
Leccinum scabrum,björksopp,,LC,,x,Växer med björk i löv- och blandskog över hela landet.,De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Livskraftig (LC).
Craterellus tubaeformis,trattkantarell,,LC,,x,Växer i mossig barrskog med tall och gran över hela landet. I södra sverige växer den i bokskog. ,De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Livskraftig (LC).
Lactarius deterrimus,granblodriska,,LC,,x,"Växer med gran i barrskog, gärna på fuktiga och mossiga marker.",De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Livskraftig (LC).
Gomphidius glutinosus,citronslemskivling,,LC,,x,Växer med gran i barrskog över hela Norden. ,De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Livskraftig (LC).
Lactarius rufus,pepparriska,,LC,,x,"Växer främst i barrskog, gärna med tall, men också i granskog och fjällbjörkskog.",De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Livskraftig (LC).
Suillus luteus,smörsopp,,LC,,x,"Växer med tall, ofta längs sandiga skogsvägar i barrskog och på tallhedar. Vanlig i hela landet. ",De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Livskraftig (LC).
Hydnum repandum s. lat.,blek taggsvamp,,NA,,x,"Växer med gran, tall, björk, ek och bok, ofta i stora grupper, i mossig barrskog och i bokskog.","Svensk förekomst: Bofast och reproducerande, Svensk invandringshistoria: Spontan."
Imleria badia,brunsopp,,LC,,x,"Växer främst med tall, men förekommer ibland även med gran och ek i barr- och blandskog.",De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Livskraftig (LC).
Craterellus lutescens,rödgul trumpetsvamp,S,LC,,x,"Växer på fuktiga och blöta platser bland mossa, ofta i gran- och björkskogar längs kanter av bäckar och kärr. Vanligtvis på kalkrik mark.",De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Livskraftig (LC).
Lactarius torminosus,skäggriska,,LC,,x,"Växer med björk i hagmarker, löv- och blandskogar.",De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Livskraftig (LC).
Russula aeruginea,grönkremla,,LC,,x,Växer med björk i skog och i parker över hela Norden.,De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Livskraftig (LC).
Russula decolorans,tegelkremla,,LC,,x,"Växer i barrskog över hela Sverige, vanlig i lavrik mager tallskog.",De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Livskraftig (LC).
Hydnum rufescens s. lat.,rödgul taggsvamp,,NA,,x,Växer både i löv- och barrskog över hela landet.,Svensk förekomst: Bofast och reproducerande.
Suillus variegatus,sandsopp,,LC,,x,"Växer med tall på tallhedar och bergig barrskog med renlav över hela landet, förekommer även i mossig barrskog.",De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Livskraftig (LC).
Lactarius trivialis,skogsriska,,LC,,x,Växer med björk och gran i fuktig och mossig löv- och barrskog. Vanlig i hela landet.,De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Livskraftig (LC).
Russula integra,mandelkremla,,LC,,x,Växer ofta i barrmattan under granar i barr- och blandskog. ,De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Livskraftig (LC).
Leccinum versipelle,tegelsopp,,LC,,x,Växer med björk i löv- och blandskog över hela landet.,De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Livskraftig (LC).
Russula vesca,kantkremla,,LC,,x,Växer i barr- och lövskog och i parker över hela Norden. ,De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Livskraftig (LC).
Albatrellus ovinus,fårticka,,LC,,x,Växer med gran i mossig granskog och barrskog. Vanlig över hela landet utom i de sydligaste och nordligaste delarna. ,De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Livskraftig (LC).
Cortinarius caperatus,rimskivling,,LC,,x,"Växer främst i barrskog och är vanlig i norra Sverige, men förekommer även i barr- och blandskog och bokskog längre söderut.",De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Livskraftig (LC).
Suillus bovinus,örsopp,,LC,,x,Växer med tall på sandig mark längs skogsvägar och på tallhedar. Förekommer i stora grupper eller klungor.,De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Livskraftig (LC).
Russula claroflava,gulkremla,,LC,,x,"Växer med björk, helst på fuktig mark.",De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Livskraftig (LC).
Russula paludosa,storkremla,,LC,,x,Växer i mossig och fuktig barrskog över hela Norden.,De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Livskraftig (LC).
Tricholoma matsutake,goliatmusseron,,VU,,x,"Växer med tall på sandig mark, i norr på tallhedar och i söder i mager hällmarkstallskog.","Bildar mykorrhiza med tall, i lav- och lingontallskog främst på mager sandjord. I södra Sverige även i blockig hällmarkstallskog. Huvudsaklig förekomst i Västerbotten och Norrbottten. Största delen av populationen finns i skogar som aldrig har kalavverkats. Förefaller ha svårt att återetableras efter kalavverkning. Svampen och dess markmycel är långlivat. Svampplockning har ingen negativ inverkan på arten. Total population i landet bedöms ha minskat starkt och fortsatt att minska huvudsakligen p.g.a. slutavverkning av tallhedar i norra Sverige. Hällmarkstallskog i södra Sverige avverkas inte i samma omfattning. Antalet reproduktiva individer skattas till 15000 (4000-30000). Antalet har skattats genom att multiplicera tre faktorer: 1) Troliga antalet aktuella lokaler i landet (750). 2) Bedömt antal unika mycel/lokal (2). 3) En schablon för hur många fragmenterade enheter varje unikt mycel bedöms ge upphov till (10). Antalet lokalområden i landet skattas till 750 (200-1500). Utbredningsområdets storlek (EOO) överskrider gränsvärdet för rödlistning. Förekomstarean (AOO) skattas till 3000 kmÂ². En minskning av populationen pågår eller förväntas ske. Minskningen avser kvalitÃ©n på artens habitat. Minskningstakten uppgår till 30 % inom 50 år. Den minskande trenden har pågått en tid och bedöms fortsätta. Bedömningen baseras på minskad geografisk utbredning och/eller försämrad habitatkvalitet. De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Sårbar (VU). Minskningstakten överstiger gränsvärdet för Sårbar (VU) enligt A-kriteriet. (A2c+3c+4c)."
Russula vinosa,vinkremla,,LC,,x,Växer i barrskog över hela Norden.,De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Livskraftig (LC).
Xerocomus subtomentosus s.lat.,sammetssopp agg.,,NA,,x,Vanlig i löv- och barrskog över hela Norden. ,Svensk förekomst: Bofast och reproducerande.
Neoboletus luridiformis,blodsopp,,LC,,x,"Växer i södra och mellersta Sverige i lövskog, helst med ek, bok och lind, ibland funnen i barrskog. ",De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Livskraftig (LC).
Gomphus clavatus,violgubbe,,VU,,x,"Växer med gran, tall, bok och eventuellt även med ek, huvudsakligen i granskog men även bokskog på kalkrik mark. Finns främst i Upplands kusttrakt i äldre skyddsvärda skogar med höga naturvärden.","Bildar mykorrhiza med gran och bok och ev. andra trädslag i ängsgran- och ängsbokskog på kalkrik mark. En välkänd art som är väl inventerad och som har sin kärnutbredning i Upplands kusttrakter. Naturvårdsverkets åtgärdsprogram för violgubbe 2006-2016 har resulterat i en ökad kännedom om och uppmärksamhet kring arten, dess ekologi och förekomster. Ett mindre antal av dessa nyfunna lokaler har hunnit få ett formellt naturskydd. Total population i landet bedöms ha minskat kraftigt, huvudsakligen p.g.a. avverkningar och minskad areal skogar av lämplig kvalitet. Ã…teretablering och förekomster efter avverkningar ovanlig, mycel förefaller möjligen kunna fortleva med hänsynsträd. Antalet reproduktiva individer överstiger gränsvärdet för rödlistning. Antalet har skattats genom att multiplicera tre faktorer: 1) Troliga antalet aktuella lokaler i landet (600). 2) Bedömt antal unika mycel/lokal (5). 3) En schablon för hur många fragmenterade enheter varje unikt mycel bedöms ge upphov till (10). Antalet lokalområden i landet skattas till 600 (300-1200). Utbredningsområdets storlek (EOO) överskrider gränsvärdet för rödlistning. Förekomstarean (AOO) skattas till 3000 kmÂ². En minskning av populationen pågår eller förväntas ske. Minskningen avser kvalitÃ©n på artens habitat. Minskningstakten uppgår till 30 % inom 50 år. Den minskande trenden har pågått en tid och bedöms fortsätta. Bedömningen baseras på minskad geografisk utbredning och/eller försämrad habitatkvalitet. De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Sårbar (VU). Minskningstakten överstiger gränsvärdet för Sårbar (VU) enligt A-kriteriet. (A2c+3c+4c)."
Hygrophorus olivaceoalbus,olivvaxskivling,,LC,,x,Växer med gran i mossig barrskog över hela landet.,De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Livskraftig (LC).
Russula cyanoxantha,brokkremla,,LC,,x,Växer med ek och bok i södra och mellersta Sverige.,De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Livskraftig (LC).
Albatrellus confluens,brödticka,,LC,,x,"Växer ofta i stora tuvor i mossig barrskog och lavrik tallskog, ofta med tall, finns över hela landet men är mer ovanlig i de allra sydligaste och nordligaste delarna av landet.",De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Livskraftig (LC).
Xerocomellus chrysenteron,rutsopp,,LC,,x,Växer med bok och ek i södra och mellersta Sverige. ,De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Livskraftig (LC).
Craterellus cornucopioides,svart trumpetsvamp,,LC,,x,"Växer ofta med ek och hassel, förekommer också i örtrik barrskog.",De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Livskraftig (LC).
Lactarius deliciosus,tallblodriska,,LC,,x,"Växer med tall i barrskog, främst på kalkrik mark.",De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Livskraftig (LC).
Suillus granulatus,grynsopp,,LC,,x,"Växer med tall, gärna längs skogsvägar, föredrar kalkrikare marker. ",De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Livskraftig (LC).
Hygrophorus camarophyllus,sotvaxskivling,,LC,,x,Växer i mossig barrskog över hela Norden. ,De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Livskraftig (LC).
Leccinum aurantiacum s.lat.,aspsopp,,NA,,x,Växer med asp och förekommer över hela Norden.,Svensk förekomst: Bofast och reproducerande.
Boletus pinophilus,rödbrun stensopp,,LC,,x,Växer med tall i barrskog över hela landet. ,De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Livskraftig (LC).
Tricholoma columbetta,silkesmusseron,,LC,,x,Växer med ek och björk i lövskog i södra och mellersta Sverige. ,De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Livskraftig (LC).
Lactarius volemus,mandelriska,S,LC,,x,Växer med ek och gran i löv- och barrskog i södra och mellersta Sverige.,De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Livskraftig (LC).
